Sector;Entidad;Ejercicio;Periodo;NombreXBRL;Tamaño(KB);Path
INMOBILIARIAS;COMPAÑIA ESPAÑOLA DE VIVIENDAS EN ALQUILER, S.A.;2018;S1;2018108902;755;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018108902.xbrl
INMOBILIARIAS;COMPAÑIA ESPAÑOLA DE VIVIENDAS EN ALQUILER, S.A.;2018;S2;2019026035;1382;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026035.xbrl
INMOBILIARIAS;FINANZAS E INVERSIONES VALENCIANAS, S.A.;2018;S1;2018095044;488;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018095044.xbrl
INMOBILIARIAS;FINANZAS E INVERSIONES VALENCIANAS, S.A.;2018;S2;2019021915;565;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019021915.xbrl
INMOBILIARIAS;INMOBILIARIA COLONIAL, SOCIMI, S.A.;2018;S1;2018092981;18730;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092981.xbrl
INMOBILIARIAS;INMOBILIARIA COLONIAL, SOCIMI, S.A.;2018;S2;2019025081;170;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025081.xbrl
INMOBILIARIAS;INMOBILIARIA DEL SUR, S.A.;2018;S1;2018092849;1759;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092849.xbrl
INMOBILIARIAS;INMOBILIARIA DEL SUR, S.A.;2018;S2;2019024944;157;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019024944.xbrl
TRANSPORTES Y COMUNICACIONES;AMADEUS IT GROUP, S.A.;2018;S1;2018091631;6335;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018091631.xbrl
TRANSPORTES Y COMUNICACIONES;AMADEUS IT GROUP, S.A.;2018;S2;2019025896;15475;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025896.xbrl
TRANSPORTES Y COMUNICACIONES;ATRESMEDIA CORPORACION DE MEDIOS DE COMUNICACION, S.A.;2018;S1;2018089974;1251;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018089974.xbrl
TRANSPORTES Y COMUNICACIONES;ATRESMEDIA CORPORACION DE MEDIOS DE COMUNICACION, S.A.;2018;S2;2019025903;171;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025903.xbrl
TRANSPORTES Y COMUNICACIONES;AUTOPISTA CONCESIONARIA ASTUR-LEONESA, S.A.U.;2018;S1;2018099373;305;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018099373.xbrl
TRANSPORTES Y COMUNICACIONES;AUTOPISTAS DEL ATLANTICO, CONCESIONARIA ESPAÑOLA, S.A.U.;2018;S1;2018099362;454;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018099362.xbrl
TRANSPORTES Y COMUNICACIONES;ENAGAS, S.A.;2018;S1;2018085463;6815;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018085463.xbrl
TRANSPORTES Y COMUNICACIONES;ENAGAS, S.A.;2018;S2;2019025071;505;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025071.xbrl
TRANSPORTES Y COMUNICACIONES;EUSKALTEL, S.A.;2018;S1;2018090989;1212;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018090989.xbrl
TRANSPORTES Y COMUNICACIONES;EUSKALTEL, S.A.;2018;S2;2019025860;160;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025860.xbrl
OTRAS INDUSTRIAS MANUFACTURERAS;AZKOYEN, S.A.;2018;S1;2018092967;960;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092967.xbrl
OTRAS INDUSTRIAS MANUFACTURERAS;AZKOYEN, S.A.;2018;S2;2019025968;163;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025968.xbrl
OTRAS INDUSTRIAS MANUFACTURERAS;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A;2018;S1;2018089887;12461;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018089887.xbrl
OTRAS INDUSTRIAS MANUFACTURERAS;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A;2018;S2;2019025798;182;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025798.xbrl
OTRAS INDUSTRIAS MANUFACTURERAS;DURO FELGUERA, S.A.;2018;S1;2018111358;1242;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018111358.xbrl
OTRAS INDUSTRIAS MANUFACTURERAS;DURO FELGUERA, S.A.;2018;S2;2019026875;1661;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026875.xbrl
OTRAS INDUSTRIAS MANUFACTURERAS;NICOLAS CORREA, S.A.;2018;S1;2018103238;568;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018103238.xbrl
OTRAS INDUSTRIAS MANUFACTURERAS;NICOLAS CORREA, S.A.;2018;S2;2019026052;162;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026052.xbrl
OTRAS INDUSTRIAS MANUFACTURERAS;SNIACE, S.A.;2018;S1;2018111811;381;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018111811.xbrl
OTRAS INDUSTRIAS MANUFACTURERAS;SNIACE, S.A.;2018;S2;2019026658;406;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026658.xbrl
