Sector;Entidad;Ejercicio;Periodo;NombreXBRL;Tamaño(KB);Path;I1040;I1085;I1100;I1195;I1120;I1130;I1200;I1245;I1256;I1265;I1280;I1285;I1288;I1290;I1295;I1305;I1310;I1350;I1400;I2295;I2296;I2297
OTROS;HISPANIA ACTIVOS INMOBILIARIOS SOCIMI, S.A.;2018;S1;2018109950;2703;<repositoryPath>/2018109950.xbrl;2837361000;131509000;2968870000;1690563000;995662000;282645000;2968870000;92334000;-18842000;73492000;71966000;0;71966000;0.66;0.66;71966000;-748000;840000;72058000;;;
OTROS;HISPANIA ACTIVOS INMOBILIARIOS SOCIMI, S.A.;2018;S2;2019026307;161;<repositoryPath>/2019026307.xbrl;2687566000;372793000;3060359000;1669867000;709475000;681017000;3060359000;;;;;;;;;;;;;0;;
OTROS;INDRA SISTEMAS, S.A.;2018;S1;2018090971;4151;<repositoryPath>/2018090971.xbrl;1651966029;2409596000;4061562029;603819000;1545991000;1911752029;4061562029;72668000;-16901000;54825000;37753000;;37753000;0.21;0.12;37753000;;-14605000;23148000;12198;8539;3659
OTROS;INDRA SISTEMAS, S.A.;2018;S2;2019026652;1530;<repositoryPath>/2019026652.xbrl;1704865000;2336398000;4041263000;677688000;1562724000;1800851000;4041263000;;;;;;;;;;;;;5601;4139;1462
OTROS;INTERNATIONAL CONSOLIDATED AIRLINES GROUP, S.A.;2018;S1;2018097031;6029;<repositoryPath>/2018097031.xbrl;18377752000;12409750000;30787502000;8079667000;9852636000;12855199000;30787502000;1734823000;-81002000;1655208000;1408411000;0;1408411000;0.68;0.66;1408411000;741460000;-205432000;1944439000;;;
OTROS;INTERNATIONAL CONSOLIDATED AIRLINES GROUP, S.A.;2018;S2;2019025888;3778;<repositoryPath>/2019025888.xbrl;17941619000;10092687000;28034306000;6719507000;10263600000;11051199000;28034306000;;;;;;;;;;;;;152;93;59
OTROS;MELIA HOTELS INTERNATIONAL S.A.;2018;S1;2018094689;5594;<repositoryPath>/2018094689.xbrl;2647907073.75;870541384.38;3518448458.13;1291956491.94;1377880969.28;848610996.91;3518448458.13;96955890.87;-13162059.31;82595115.78;61946085.34;0;61946085.34;0.27;0.27;61946085.34;13662852.07;-19493548.62;56115388.79;5378;2622;2756
OTROS;MELIA HOTELS INTERNATIONAL S.A.;2018;S2;2019025655;173;<repositoryPath>/2019025655.xbrl;2760640000;714519000;3475159000;1384205000;1383885000;707069000;3475159000;;;;;;;;;;;;;5665;2715;2950
OTROS;MERLIN PROPERTIES, SOCIMI, S.A.;2018;S1;2018094778;13613;<repositoryPath>/2018094778.xbrl;11871909000;318718000;12190627000;6068607000;5982299000;139721000;12190627000;577330000;-96516000;467985000;457713000;0;457713000;0.98;0.98;457713000;0;-989000;456724000;148;90;58
OTROS;MERLIN PROPERTIES, SOCIMI, S.A.;2018;S2;2019025841;172;<repositoryPath>/2019025841.xbrl;12214465000;358232000;12572697000;6401836000;5994309000;176552000;12572697000;;;;;;;;;;;;;150;91;59
OTROS;MOBILIARIA MONESA, S.A.;2018;S1;2018111713;24350;<repositoryPath>/2018111713.xbrl;14311000;16435000;30746000;23947000;5698000;1101000;30746000;-1421000;147000;-1274000;-1274000;;-1274000;;;-1274000;;260000;-1014000;;;
OTROS;MOBILIARIA MONESA, S.A.;2018;S2;2019025772;924;<repositoryPath>/2019025772.xbrl;13453000;16184000;29637000;22678000;5698000;1261000;29637000;;;;;;;;;;;;;0;;
OTROS;MONTEBALITO, S.A.;2018;S1;2018099388;13766;<repositoryPath>/2018099388.xbrl;40221448.34;82018932.20;122240380.54;94266058.73;16236809.57;11737512.24;122240380.54;773309.95;-1529430.77;-756120.82;-830205.31;;-830205.31;-0.03;-0.03;-830205.31;;;-830205.31;13;11;2
OTROS;MONTEBALITO, S.A.;2018;S2;2019026435;1389;<repositoryPath>/2019026435.xbrl;38545000;80290000;118835000;93567000;12798000;12470000;118835000;;;;;;;;;;;;;13;11;2
OTROS;NH HOTEL GROUP, S.A.;2018;S1;2018090884;7611;<repositoryPath>/2018090884.xbrl;2082350000;492214000;2574564000;1427570000;719403000;427591000;2574564000;55420000;-28603000;26767000;10719000;55076000;65795000;0.10;0.10;65795000;;-8249000;57546000;471;209;262
OTROS;NH HOTEL GROUP, S.A.;2018;S2;2019024368;167;<repositoryPath>/2019024368.xbrl;2072967000;490161000;2563128000;1504022000;691672000;367434000;2563128000;;;;;;;;;;;;;470;201;269
OTROS;ORYZON GENOMICS, S.A.;2018;S1;2018094667;1514;<repositoryPath>/2018094667.xbrl;;;;;;;;;;;;;;;;;;;;39;17;22
OTROS;ORYZON GENOMICS, S.A.;2018;S2;2019020875;142;<repositoryPath>/2019020875.xbrl;0;0;0;0;0;0;0;;;;;;;;;;;;;40;17;23
OTROS;PARQUES REUNIDOS SERVICIOS CENTRALES, S.A.;2018;S2;2019025247;153;<repositoryPath>/2019025247.xbrl;2194187000;109284000;2303471000;1055722000;1006741000;241008000;2303471000;;;;;;;;;;;;;129;65;64
OTROS;PHARMA MAR, S.A.;2018;S1;2018090857;3040;<repositoryPath>/2018090857.xbrl;92688393;97930029;190618422;26133859;69907651;94576912;190618422;3292689;-2224177;1068512;3042766;;3042766;0.01;0.01;3042766;;-1854;3040912;338;143;195
OTROS;PHARMA MAR, S.A.;2018;S2;2019026741;167;<repositoryPath>/2019026741.xbrl;82566000;75110000;157676000;17474000;67821000;72381000;157676000;;;;;;;;;;;;;338;143;195
OTROS;PRIM, S.A.;2018;S1;2018096634;1118;<repositoryPath>/2018096634.xbrl;38458590;107826156;146284746;104368412;2280768;39635566;146284746;8102874;1088746;9191620;6890338;0;6890338;0.40;0.40;6890338;-24475;161006;7026869;468;271;197
OTROS;PRIM, S.A.;2018;S2;2019025490;871;<repositoryPath>/2019025490.xbrl;43646000;94660000;138306000;108837000;1964000;27505000;138306000;;;;;;;;;;;;;486;278;208
OTROS;PROSEGUR, COMPAÑIA DE SEGURIDAD, S.A.;2018;S1;2018090979;1260;<repositoryPath>/2018090979.xbrl;1505950000;2111819000;3617769000;1095851000;1625563000;896355000;3617769000;181578000;-4745000;175980000;111569000;0;111569000;;;111569000;;-166417000;-54848000;40;20;20
OTROS;PROSEGUR, COMPAÑIA DE SEGURIDAD, S.A.;2018;S2;2019025905;167;<repositoryPath>/2019025905.xbrl;1720546000;2099224000;3819770000;1066457000;1676367000;1076946000;3819770000;;;;;;;;;;;;;30;20;10
OTROS;REPSOL, S.A.;2018;S1;2018089995;13426;<repositoryPath>/2018089995.xbrl;42142000000;18607000000;60749000000;31158000000;17155000000;12436000000;60749000000;1797000000;31000000;2021000000;1153000000;412000000;1565000000;0.97;0.97;1565000000;15000000;258000000;1838000000;2276;1163;1113
OTROS;REPSOL, S.A.;2018;S2;2019025966;196;<repositoryPath>/2019025966.xbrl;43484000000;17294000000;60778000000;30914000000;17054000000;12810000000;60778000000;;;;;;;;;;;;;2306;1125;1181
OTROS;SERVICE POINT SOLUTIONS, S.A.;2018;S1;2018114540;775;<repositoryPath>/2018114540.xbrl;534371;1601232;2135603;-1998834;1484516;2649921;2135603;-294011;-59925;-353936;-354804;0;-354804;-0.01;-0.01;-354804;0;315;-354489;2;0;2
OTROS;SERVICE POINT SOLUTIONS, S.A.;2018;S2;2019026874;657;<repositoryPath>/2019026874.xbrl;475000;2042000;2517000;-2198000;1978000;2737000;2517000;;;;;;;;;;;;;2;0;2
OTROS;TALGO, S.A.;2018;S1;2018090837;1125;<repositoryPath>/2018090837.xbrl;242628000;590432000;833060000;323939000;298430000;210691000;833060000;18697000;-4783000;13914000;10001000;;10001000;0.07;0.07;10001000;768000;;10769000;;;
OTROS;TALGO, S.A.;2018;S2;2019026585;148;<repositoryPath>/2019026585.xbrl;242406000;661821000;904227000;328115000;330964000;245148000;904227000;;;;;;;;;;;;;0;;
OTROS;TECNICAS REUNIDAS, S.A.;2018;S1;2018089976;2125;<repositoryPath>/2018089976.xbrl;343035264;3621588348;3964623612;382058140;399057765;3183507707;3964623612;17147630;-6181649;10158023;6907456;-145187;6762269;0.10;0.10;6762269;;-12008850;-5246581;3395;2237;1158
OTROS;TECNICAS REUNIDAS, S.A.;2018;S2;2019025912;167;<repositoryPath>/2019025912.xbrl;514860000;3210025000;3724885000;358587000;486527000;2879771000;3724885000;;;;;;;;;;;;;3371;2220;1151
OTROS;TR HOTEL JARDIN DEL MAR, S.A.;2018;S1;2018106955;2021;<repositoryPath>/2018106955.xbrl;;;;;;;;;;;;;;;;;;;;32;18;14
OTROS;TR HOTEL JARDIN DEL MAR, S.A.;2018;S2;2019024267;2694;<repositoryPath>/2019024267.xbrl;0;0;0;;;;;;;;;;;;;;;;;34;19;15
OTROS;UNION CATALANA DE VALORES, S.A.;2018;S1;2018112020;506;<repositoryPath>/2018112020.xbrl;12294000;10237000;22531000;20339000;12000;2180000;22531000;-418000;-121000;-399000;-410000;;-410000;3;;-410000;;;-410000;0;0;0
OTROS;UNION CATALANA DE VALORES, S.A.;2018;S2;2019027801;624;<repositoryPath>/2019027801.xbrl;22180000;3999000;26179000;18050000;12000;8117000;26179000;;;;;;;;;;;;;0;;
OTROS;URBAR INGENIEROS, S.A.;2018;S1;2018106728;1715;<repositoryPath>/2018106728.xbrl;6224000;2749000;8973000;221000;1743000;7009000;8973000;328000;-110000;218000;218000;;218000;;;218000;;;218000;5;4;1
OTROS;URBAR INGENIEROS, S.A.;2018;S2;2019025834;1922;<repositoryPath>/2019025834.xbrl;5762000;5178000;10940000;295000;1758000;8887000;10940000;;;;;;;;;;;;;4;3;1
SEGUROS Y OTRAS INTERMEDIACIONES FINANCIERAS;ALANTRA PARTNERS, S.A.;2018;S1;2018089981;1428;<repositoryPath>/2018089981.xbrl;132337052.33;128431260.03;260768312.36;206251775.30;14163225.21;40353311.85;260768312.36;17212058.50;-1712931.60;16762813.88;14977258.08;;14977258.08;0.37;0.37;14977258.08;;580877.86;15558135.94;41;17;24
SEGUROS Y OTRAS INTERMEDIACIONES FINANCIERAS;ALANTRA PARTNERS, S.A.;2018;S2;2019026717;3073;<repositoryPath>/2019026717.xbrl;137408000;183449000;320857000;213255000;15602000;92000000;320857000;;;;;;;;;;;;;43;20;23
SEGUROS Y OTRAS INTERMEDIACIONES FINANCIERAS;BOLSAS Y MERCADOS ESPAÑOLES, SDAD HOLDING DE MDOS Y STMAS FIN., S.A.;2018;S1;2018090985;8448;<repositoryPath>/2018090985.xbrl;173616000;15460280000;15633896000;435789000;20742000;15177365000;15633896000;92271000;494000;94420000;71229000;;71229000;0.86;0.85;71229000;1495000;14000;72738000;38;15;23
SEGUROS Y OTRAS INTERMEDIACIONES FINANCIERAS;BOLSAS Y MERCADOS ESPAÑOLES, SDAD HOLDING DE MDOS Y STMAS FIN., S.A.;2018;S2;2019025879;169;<repositoryPath>/2019025879.xbrl;178538000;14231790000;14410328000;399620000;40233000;13970475000;14410328000;;;;;;;;;;;;;40;15;25
SEGUROS Y OTRAS INTERMEDIACIONES FINANCIERAS;GRUPO CATALANA OCCIDENTE, S.A.;2018;S1;2018090538;17161;<repositoryPath>/2018090538.xbrl;;;14590326000;3167299000;881425000;;14590326000;;;;;;;;;205752000;-5533000;-2097000;185775000;71;31;40
SEGUROS Y OTRAS INTERMEDIACIONES FINANCIERAS;GRUPO CATALANA OCCIDENTE, S.A.;2018;S2;2019026469;180;<repositoryPath>/2019026469.xbrl;;;14479377000;3204136000;870637000;;14479377000;;;;;;;;;;;;;74;32;42
SEGUROS Y OTRAS INTERMEDIACIONES FINANCIERAS;EMISORA SANTANDER ESPAÑA S.A.U.;2018;S1;2018104816;7389;<repositoryPath>/2018104816.xbrl;;;;;;;;;;;;;;;;;;;;;;
SEGUROS Y OTRAS INTERMEDIACIONES FINANCIERAS;KUTXABANK EMPRESTITOS, S.A.;2018;S1;2018111589;21893;<repositoryPath>/2018111589.xbrl;;;;;;;;;;;;;;;;;;;;;;
SEGUROS Y OTRAS INTERMEDIACIONES FINANCIERAS;MAPFRE, S.A.;2018;S1;2018089993;14106;<repositoryPath>/2018089993.xbrl;;;68202709000;10106619000;6756670000;;68202709000;;;;;;;;;585115000;;-544000;134351000;522;265;257
SEGUROS Y OTRAS INTERMEDIACIONES FINANCIERAS;MAPFRE, S.A.;2018;S2;2019017950;733;<repositoryPath>/2019017950.xbrl;;;67290799000;9197579000;6403533000;;67290799000;;;;;;;;;;;;;526;267;259
