Sector;Entidad;Ejercicio;Periodo;NombreXBRL;Tamaño(KB);Path;I1040;I1085;I1100;I1195;I1120;I1130;I1200;I1245;I1256;I1265;I1280;I1285;I1288;I1290;I1295;I1305;I1310;I1350;I1400;I2295;I2296;I2297
METAL MECÁNICA;ACERINOX, S.A.;2018;S1;2018091082;7880;<repositoryPath>/2018091082.xbrl;2131281000;2603529000;4734810000;2014616000;1301543000;1418651000;4734810000;183710000;-1764000;181946000;131604000;0;131604000;0.50;0.50;131604000;-1502000;39203000;169305000;63;36;27
METAL MECÁNICA;ACERINOX, S.A.;2018;S2;2019025940;168;<repositoryPath>/2019025940.xbrl;2133773000;2473817000;4607590000;2119299000;1226223000;1262068000;4607590000;;;;;;;;;;;;;62;35;27
METAL MECÁNICA;CIE AUTOMOTIVE, S.A.;2018;S1;2018088753;7649;<repositoryPath>/2018088753.xbrl;2524913000;2197676000;4722589000;966189000;1336769000;2419631000;4722589000;209618000;-17814000;193101000;151131000;13513000;164644000;1.07;1.07;164644000;140000;-46736000;118048000;66;39;27
METAL MECÁNICA;CIE AUTOMOTIVE, S.A.;2018;S2;2019023773;174;<repositoryPath>/2019023773.xbrl;2504671000;1159175000;3663846000;1048886000;1392096000;1222864000;3663846000;;;;;;;;;;;;;65;39;26
METAL MECÁNICA;DESARROLLOS ESPECIALES DE SISTEMAS DE ANCLAJES, S.A.;2018;S1;2018111259;630;<repositoryPath>/2018111259.xbrl;13789102;23108329;36897431;12635850;4155141;20106440;36897431;1289897;-95284;1194613;1194613;;1194613;0.67;;1194613;;;1194613;1;1;
METAL MECÁNICA;DESARROLLOS ESPECIALES DE SISTEMAS DE ANCLAJES, S.A.;2018;S2;2019025957;532;<repositoryPath>/2019025957.xbrl;13959000;22646000;36605000;12668000;4190000;19747000;36605000;;;;;;;;;;;;;1;1;
METAL MECÁNICA;LINGOTES ESPECIALES, S.A.;2018;S1;2018087413;286;<repositoryPath>/2018087413.xbrl;53755108;38803795;92558903;40947241;15478194;36133468;92558903;7665686;-135235;7530451;5692838;;5692838;0.57;0.57;5692838;;;5692838;449;426;23
METAL MECÁNICA;LINGOTES ESPECIALES, S.A.;2018;S2;2019026439;149;<repositoryPath>/2019026439.xbrl;56780000;35562000;92342000;44453000;20674000;27215000;92342000;;;;;;;;;;;;;437;414;23
METAL MECÁNICA;NYESA VALORES CORPORACION, S.A.;2018;S1;2018111798;1037;<repositoryPath>/2018111798.xbrl;893140;142813935;143707075;36557449;53985766;53163860;143707075;-11437349;-2828724;-14266073;-14312095;;-14312095;0.01;0.01;-14312095;;2094097;-12217998;10;5;5
METAL MECÁNICA;NYESA VALORES CORPORACION, S.A.;2018;S2;2019026685;1557;<repositoryPath>/2019026685.xbrl;1181000;90133000;91314000;2029000;50631000;38654000;91314000;;;;;;;;;;;;;10;5;5
