Sector;Entidad;Ejercicio;Periodo;NombreXBRL;Tamaño(KB);Path;I2295;I2296;I2297
ALIMENTACIÓN;BIOSEARCH, S.A.;2018;S2;2019025701;4118;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025701.xbrl;151;91;60
ALIMENTACIÓN;BODEGAS RIOJANAS, S.A.;2018;S1;2018092125;905;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092125.xbrl;89;60;29
ALIMENTACIÓN;BODEGAS RIOJANAS, S.A.;2018;S2;2019026665;1644;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026665.xbrl;90;60;30
ALIMENTACIÓN;DEOLEO, S.A.;2018;S1;2018092845;3824;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092845.xbrl;286;168;118
ALIMENTACIÓN;DEOLEO, S.A.;2018;S2;2019026657;1598;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026657.xbrl;296;174;122
ALIMENTACIÓN;EBRO FOODS, S.A.;2018;S1;2018089696;2303;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018089696.xbrl;60;36;24
ALIMENTACIÓN;EBRO FOODS, S.A.;2018;S2;2019026516;2905;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026516.xbrl;59;35;24
CONSTRUCCIÓN;ABENGOA, S.A.;2018;S1;2018111836;11358;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018111836.xbrl;47;26;21
CONSTRUCCIÓN;ABENGOA, S.A.;2018;S2;2019024403;2578;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019024403.xbrl;144;86;58
CONSTRUCCIÓN;ACCIONA, S.A.;2018;S1;2018090953;6293;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018090953.xbrl;340;181;159
CONSTRUCCIÓN;ACCIONA, S.A.;2018;S2;2019026831;171;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026831.xbrl;347;185;162
CONSTRUCCIÓN;ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.A.;2018;S1;2018089835;7097;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018089835.xbrl;53;31;22
CONSTRUCCIÓN;ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.A.;2018;S2;2019025736;4795;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025736.xbrl;53;31;22
CONSTRUCCIÓN;COMPAÑIA LEVANTINA DE EDIFICACION Y OBRAS PUBLICAS, S.A.;2018;S1;2018111652;3100;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018111652.xbrl;23;13;10
CONSTRUCCIÓN;COMPAÑIA LEVANTINA DE EDIFICACION Y OBRAS PUBLICAS, S.A.;2018;S2;2019026691;326;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026691.xbrl;23;13;10
CONSTRUCCIÓN;FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S.A.;2018;S1;2018094656;2927;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018094656.xbrl;24478;18855;5623
CONSTRUCCIÓN;FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S.A.;2018;S2;2019025070;193;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025070.xbrl;25011;19314;5697
INMOBILIARIAS;AYCO GRUPO INMOBILIARIO, S.A.;2018;S1;2018103286;2194;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018103286.xbrl;3;2;1
INMOBILIARIAS;AYCO GRUPO INMOBILIARIO, S.A.;2018;S2;2019026745;3900;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026745.xbrl;3;2;1
INMOBILIARIAS;COMPAÑIA ESPAÑOLA DE VIVIENDAS EN ALQUILER, S.A.;2018;S1;2018108902;755;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018108902.xbrl;14;8;6
INMOBILIARIAS;COMPAÑIA ESPAÑOLA DE VIVIENDAS EN ALQUILER, S.A.;2018;S2;2019026035;1382;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026035.xbrl;14;8;6
INMOBILIARIAS;FINANZAS E INVERSIONES VALENCIANAS, S.A.;2018;S1;2018095044;488;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018095044.xbrl;3;3;None
INMOBILIARIAS;FINANZAS E INVERSIONES VALENCIANAS, S.A.;2018;S2;2019021915;565;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019021915.xbrl;3;3;None
INMOBILIARIAS;INMOBILIARIA COLONIAL, SOCIMI, S.A.;2018;S1;2018092981;18730;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092981.xbrl;78;33;45
INMOBILIARIAS;INMOBILIARIA COLONIAL, SOCIMI, S.A.;2018;S2;2019025081;170;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025081.xbrl;86;36;50
INMOBILIARIAS;INMOBILIARIA DEL SUR, S.A.;2018;S1;2018092849;1759;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092849.xbrl;36;20;16
INMOBILIARIAS;INMOBILIARIA DEL SUR, S.A.;2018;S2;2019024944;157;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019024944.xbrl;24;12;12
TRANSPORTES Y COMUNICACIONES;AMADEUS IT GROUP, S.A.;2018;S1;2018091631;6335;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018091631.xbrl;943;431;512
TRANSPORTES Y COMUNICACIONES;AMADEUS IT GROUP, S.A.;2018;S2;2019025896;15475;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025896.xbrl;976;454;522
TRANSPORTES Y COMUNICACIONES;ATRESMEDIA CORPORACION DE MEDIOS DE COMUNICACION, S.A.;2018;S1;2018089974;1251;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018089974.xbrl;445;221;224
TRANSPORTES Y COMUNICACIONES;ATRESMEDIA CORPORACION DE MEDIOS DE COMUNICACION, S.A.;2018;S2;2019025903;171;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025903.xbrl;445;221;224
TRANSPORTES Y COMUNICACIONES;AUTOPISTA CONCESIONARIA ASTUR-LEONESA, S.A.U.;2018;S1;2018099373;305;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018099373.xbrl;65;55;10
TRANSPORTES Y COMUNICACIONES;AUTOPISTAS DEL ATLANTICO, CONCESIONARIA ESPAÑOLA, S.A.U.;2018;S1;2018099362;454;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018099362.xbrl;209;129;80
TRANSPORTES Y COMUNICACIONES;ENAGAS, S.A.;2018;S1;2018085463;6815;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018085463.xbrl;345;167;178
TRANSPORTES Y COMUNICACIONES;ENAGAS, S.A.;2018;S2;2019025071;505;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025071.xbrl;352;181;171
TRANSPORTES Y COMUNICACIONES;EUSKALTEL, S.A.;2018;S1;2018090989;1212;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018090989.xbrl;337;165;172
TRANSPORTES Y COMUNICACIONES;EUSKALTEL, S.A.;2018;S2;2019025860;160;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025860.xbrl;334;163;171
OTRAS INDUSTRIAS MANUFACTURERAS;AZKOYEN, S.A.;2018;S1;2018092967;960;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092967.xbrl;238;157;81
OTRAS INDUSTRIAS MANUFACTURERAS;AZKOYEN, S.A.;2018;S2;2019025968;163;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025968.xbrl;240;156;84
OTRAS INDUSTRIAS MANUFACTURERAS;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A;2018;S1;2018089887;12461;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018089887.xbrl;4183;3695;488
OTRAS INDUSTRIAS MANUFACTURERAS;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A;2018;S2;2019025798;182;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025798.xbrl;4237;3741;496
OTRAS INDUSTRIAS MANUFACTURERAS;DURO FELGUERA, S.A.;2018;S1;2018111358;1242;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018111358.xbrl;651;474;177
OTRAS INDUSTRIAS MANUFACTURERAS;DURO FELGUERA, S.A.;2018;S2;2019026875;1661;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026875.xbrl;659;489;170
OTRAS INDUSTRIAS MANUFACTURERAS;NICOLAS CORREA, S.A.;2018;S1;2018103238;568;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018103238.xbrl;191;168;23
OTRAS INDUSTRIAS MANUFACTURERAS;NICOLAS CORREA, S.A.;2018;S2;2019026052;162;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026052.xbrl;192;170;22
OTRAS INDUSTRIAS MANUFACTURERAS;SNIACE, S.A.;2018;S1;2018111811;381;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018111811.xbrl;86;66;20
OTRAS INDUSTRIAS MANUFACTURERAS;SNIACE, S.A.;2018;S2;2019026658;406;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026658.xbrl;87;61;26
